Year,Cause.Name,State,Deaths
2011,Suicide,Arkansas,462
2011,Suicide,California,3996
2011,Suicide,Colorado,913
2011,Suicide,Connecticut,370
2011,Suicide,Delaware,105
2011,Suicide,District of Columbia,37
2011,Suicide,Florida,2880
2011,Suicide,Georgia,1157
2011,Suicide,Hawaii,181
2011,Suicide,Idaho,281
2011,Suicide,Illinois,1226
2011,Suicide,Indiana,881
2011,Suicide,Iowa,422
2011,Suicide,Kansas,394
2011,Suicide,Kentucky,675
2011,Suicide,Louisiana,573
2011,Suicide,Maine,235
2011,Suicide,Maryland,558
2011,Suicide,Massachusetts,585
2011,Suicide,Michigan,1221
2011,Suicide,Minnesota,683
2011,Suicide,Mississippi,389
2011,Suicide,Missouri,933
2011,Suicide,Montana,232
2011,Suicide,Nebraska,193
2011,Suicide,Nevada,516
2011,Suicide,New Hampshire,198
2011,Suicide,New Jersey,689
2011,Suicide,New Mexico,420
2011,Suicide,New York,1658
2011,Suicide,North Carolina,1213
2011,Suicide,North Dakota,106
2011,Suicide,Ohio,1465
2011,Suicide,Oklahoma,693
2011,Suicide,Oregon,656
2011,Suicide,Pennsylvania,1747
2011,Suicide,Rhode Island,101
2011,Suicide,South Carolina,658
2011,Suicide,South Dakota,128
2011,Suicide,Tennessee,955
2011,Suicide,Texas,2896
2011,Suicide,Utah,502
2011,Suicide,Vermont,120
2011,Suicide,Virginia,1054
2011,Suicide,Washington,1021
2011,Suicide,West Virginia,306
2011,Suicide,Wisconsin,745
2011,Suicide,Wyoming,132
2010,Suicide,Alabama,679
2010,Suicide,Alaska,164
2010,Suicide,Arizona,1093
2010,Suicide,Arkansas,447
2010,Suicide,California,3913
2010,Suicide,Colorado,865
2010,Suicide,Connecticut,353
2010,Suicide,Delaware,106
2010,Suicide,District of Columbia,41
2010,Suicide,Florida,2789
2010,Suicide,Georgia,1133
2010,Suicide,Hawaii,207
2010,Suicide,Idaho,290
2010,Suicide,Illinois,1178
2010,Suicide,Indiana,864
2010,Suicide,Iowa,372
2010,Suicide,Kansas,401
2010,Suicide,Kentucky,631
2010,Suicide,Louisiana,557
2010,Suicide,Maine,186
2010,Suicide,Maryland,502
2010,Suicide,Massachusetts,598
2010,Suicide,Michigan,1263
2010,Suicide,Minnesota,606
2010,Suicide,Mississippi,388
2010,Suicide,Missouri,856
2010,Suicide,Montana,227
2010,Suicide,Nebraska,193
2010,Suicide,Nevada,547
2010,Suicide,New Hampshire,196
2010,Suicide,New Jersey,719
2010,Suicide,New Mexico,413
2010,Suicide,New York,1547
2010,Suicide,North Carolina,1174
2010,Suicide,North Dakota,106
2010,Suicide,Ohio,1439
2010,Suicide,Oklahoma,618
2010,Suicide,Oregon,685
2010,Suicide,Pennsylvania,1576
2010,Suicide,Rhode Island,129
2010,Suicide,South Carolina,637
2010,Suicide,South Dakota,140
2010,Suicide,Tennessee,943
2010,Suicide,Texas,2891
2010,Suicide,Utah,473
2010,Suicide,Vermont,106
2010,Suicide,Virginia,963
2010,Suicide,Washington,957
2010,Suicide,West Virginia,279
2010,Suicide,Wisconsin,793
2010,Suicide,Wyoming,131
2009,Suicide,Alabama,673
2009,Suicide,Alaska,143
2009,Suicide,Arizona,1060
2009,Suicide,Arkansas,422
2009,Suicide,California,3823
2009,Suicide,Colorado,941
2009,Suicide,Connecticut,316
2009,Suicide,Delaware,107
2009,Suicide,District of Columbia,29
2009,Suicide,Florida,2858
2009,Suicide,Georgia,1134
2009,Suicide,Hawaii,175
2009,Suicide,Idaho,304
2009,Suicide,Illinois,1177
2009,Suicide,Indiana,828
2009,Suicide,Iowa,361
2009,Suicide,Kansas,382
2009,Suicide,Kentucky,592
2009,Suicide,Louisiana,490
2009,Suicide,Maine,197
2009,Suicide,Maryland,551
2009,Suicide,Massachusetts,530
2009,Suicide,Michigan,1169
2009,Suicide,Minnesota,584
2009,Suicide,Mississippi,381
2009,Suicide,Missouri,860
2009,Suicide,Montana,219
2009,Suicide,Nebraska,170
2009,Suicide,Nevada,505
2009,Suicide,New Hampshire,166
2009,Suicide,New Jersey,557
2009,Suicide,New Mexico,376
2009,Suicide,New York,1417
2009,Suicide,North Carolina,1174
2009,Suicide,North Dakota,90
2009,Suicide,Ohio,1176
2009,Suicide,Oklahoma,567
2009,Suicide,Oregon,644
2009,Suicide,Pennsylvania,1631
2009,Suicide,Rhode Island,118
2009,Suicide,South Carolina,619
