"","State","Year","rate_sum","Cause.Name","Deaths","Unemployment.Rate","Suicides"
"151","South Dakota",2010,5.24936868686869,"Suicide",140,5.25,140
"152","South Dakota",2015,3.65643939393939,"Suicide",173,3.66,173
"153","Tennessee",2000,4.60149122807018,"Suicide",730,4.6,730
"154","Tennessee",2005,6.60666666666667,"Suicide",856,6.61,856
"155","Tennessee",2010,11.314298245614,"Suicide",943,11.31,943
"156","Tennessee",2015,6.73798245614035,"Suicide",1068,6.74,1068
"157","Texas",2000,4.69675196850394,"Suicide",2053,4.7,2053
"158","Texas",2010,7.97329396325459,"Suicide",2891,7.97,2891
"159","Texas",2015,4.7752624671916,"Suicide",3403,4.78,3403
"160","Utah",2000,4.18103448275862,"Suicide",298,4.18,298
"161","Utah",2005,4.63764367816092,"Suicide",348,4.64,348
"162","Utah",2010,8.53936781609195,"Suicide",473,8.54,473
"163","Utah",2015,4.7985632183908,"Suicide",630,4.8,630
"164","Vermont",2000,3.10595238095238,"Suicide",77,3.11,77
"165","Vermont",2005,3.72678571428571,"Suicide",78,3.73,78
"166","Vermont",2010,6.75595238095238,"Suicide",106,6.76,106
"167","Vermont",2015,4.21488095238095,"Suicide",103,4.21,103
"168","Virginia",2000,2.84580200501253,"Suicide",768,2.85,768
"169","Virginia",2005,4.29082706766917,"Suicide",866,4.29,866
"170","Virginia",2010,8.48045112781955,"Suicide",963,8.48,963
"171","Virginia",2015,5.140664160401,"Suicide",1118,5.14,1118
"172","Washington",2000,6.73995726495726,"Suicide",727,6.74,727
"173","Washington",2005,6.68418803418803,"Suicide",822,6.68,822
"174","Washington",2010,10.7724358974359,"Suicide",957,10.77,957
"175","Washington",2015,6.83568376068376,"Suicide",1137,6.84,1137
"176","West Virginia",2000,6.18272727272727,"Suicide",245,6.18,245
"177","West Virginia",2005,5.65681818181818,"Suicide",255,5.66,255
"178","West Virginia",2010,9.74712121212121,"Suicide",279,9.75,279
"179","West Virginia",2015,7.74378787878788,"Suicide",340,7.74,340
"180","Wisconsin",2000,3.98680555555556,"Suicide",590,3.99,590
"181","Wisconsin",2005,5.1568287037037,"Suicide",643,5.16,643
"182","Wisconsin",2010,9.38946759259259,"Suicide",793,9.39,793
"183","Wisconsin",2015,5.12662037037037,"Suicide",877,5.13,877
"184","Wyoming",2000,3.94528985507246,"Suicide",83,3.95,83
"185","Wyoming",2005,3.71159420289855,"Suicide",90,3.71,90
"186","Wyoming",2010,6.18188405797101,"Suicide",131,6.18,131
"187","Wyoming",2015,4.06884057971014,"Suicide",157,4.07,157
